iter	Passed	Remaining
0	7	2137
1	13	1997
2	19	1901
3	24	1832
4	30	1817
5	36	1768
6	42	1778
7	48	1756
8	54	1747
9	61	1789
10	68	1794
11	77	1860
12	83	1839
13	88	1815
14	95	1821
15	101	1807
16	107	1788
17	112	1765
18	118	1753
19	123	1732
20	129	1721
21	134	1705
22	141	1706
23	147	1696
24	153	1683
25	157	1664
26	164	1660
27	170	1652
28	175	1641
29	180	1627
30	185	1613
31	191	1604
32	197	1595
33	202	1585
34	207	1574
35	213	1566
36	219	1559
37	223	1543
38	228	1528
39	233	1515
40	238	1503
41	242	1491
42	248	1483
43	253	1474
44	256	1452
45	261	1446
46	266	1434
47	271	1427
48	277	1419
49	281	1407
50	286	1397
51	291	1389
52	296	1380
53	301	1375
54	307	1370
55	312	1362
56	317	1353
57	322	1344
58	327	1336
59	332	1330
60	337	1321
61	341	1312
62	347	1306
63	351	1296
64	356	1290
65	362	1285
66	368	1281
67	373	1274
68	379	1268
69	384	1262
70	390	1259
71	394	1250
72	399	1241
73	403	1232
74	408	1225
75	413	1219
76	418	1212
77	424	1208
78	430	1205
79	435	1197
80	440	1189
81	446	1186
82	451	1180
83	456	1173
84	460	1165
85	465	1159
86	471	1154
87	476	1147
88	481	1141
89	486	1135
90	491	1128
91	497	1124
92	502	1119
93	507	1111
94	512	1105
95	517	1098
96	521	1090
97	526	1084
98	531	1078
99	537	1074
100	541	1067
101	546	1060
102	550	1053
103	553	1043
104	558	1036
105	562	1030
106	587	1060
107	603	1072
108	610	1069
109	631	1091
110	639	1088
111	646	1085
112	663	1098
113	671	1095
114	677	1089
115	683	1083
116	689	1078
117	695	1073
118	702	1068
119	708	1062
120	714	1056
121	721	1052
122	727	1046
123	733	1041
124	740	1036
125	746	1030
126	751	1023
127	756	1016
128	761	1009
129	766	1002
130	771	995
131	777	989
132	782	982
133	788	976
134	794	970
135	800	965
136	806	959
137	812	953
138	820	950
139	826	944
140	831	937
141	837	931
142	842	925
143	848	918
144	853	912
145	858	906
146	865	900
147	870	894
148	876	888
149	882	882
150	889	877
151	893	870
152	900	864
153	905	858
154	910	851
155	915	845
156	920	838
157	925	831
158	929	824
159	933	816
160	938	810
161	943	803
162	949	797
163	953	791
164	958	784
165	963	777
166	968	771
167	973	765
168	977	757
169	982	751
170	987	745
171	993	739
172	998	732
173	1003	726
174	1008	720
175	1013	713
176	1017	707
177	1023	701
178	1027	694
179	1032	688
180	1037	682
181	1041	675
182	1046	669
183	1050	662
184	1055	655
185	1060	649
186	1065	643
187	1069	637
188	1073	630
189	1078	624
190	1083	618
191	1088	612
192	1093	606
193	1098	600
194	1103	594
195	1107	587
196	1111	581
197	1116	575
198	1121	569
199	1125	562
200	1129	556
201	1133	550
202	1138	543
203	1141	537
204	1146	531
205	1150	525
206	1155	519
207	1161	513
208	1166	507
209	1171	502
210	1175	496
211	1180	489
212	1185	484
213	1189	477
214	1193	471
215	1197	465
216	1203	460
217	1209	454
218	1213	448
219	1218	443
220	1223	437
221	1228	431
222	1232	425
223	1236	419
224	1240	413
225	1245	407
226	1250	402
227	1255	396
228	1260	390
229	1264	384
230	1269	379
231	1273	373
232	1279	367
233	1285	362
234	1290	356
235	1294	351
236	1300	345
237	1304	339
238	1309	334
239	1313	328
240	1318	322
241	1323	317
242	1327	311
243	1332	305
244	1337	300
245	1341	294
246	1346	288
247	1350	283
248	1355	277
249	1360	272
250	1364	266
251	1369	260
252	1374	255
253	1379	249
254	1383	244
255	1389	238
256	1394	233
257	1398	227
258	1403	222
259	1409	216
260	1414	211
261	1418	205
262	1423	200
263	1428	194
264	1433	189
265	1438	183
266	1443	178
267	1447	172
268	1453	167
269	1457	161
270	1462	156
271	1467	151
272	1471	145
273	1477	140
274	1481	134
275	1485	129
276	1490	123
277	1495	118
278	1500	112
279	1505	107
280	1510	102
281	1515	96
282	1519	91
283	1524	85
284	1529	80
285	1534	75
286	1539	69
287	1544	64
288	1549	58
289	1555	53
290	1559	48
291	1563	42
292	1569	37
293	1574	32
294	1579	26
295	1584	21
296	1590	16
297	1594	10
298	1599	5
299	1605	0
