État civil,Mode d'application,Ordre d'application,Cours,Présence jour/soir,Qualification antérieure,Nationalité,Qualification mère,Qualification père,Occupation mère,Occupation père,Déplacé,Besoins éducatifs spéciaux,Dettes,Frais de scolarité à jour,Sexe,Bourse,Âge à l'inscription,International,Unités curriculaires 1er semestre (créditées),Unités curriculaires 1er semestre (inscrits),Unités curriculaires 1er semestre (évaluations),Unités curriculaires 1er semestre (approuvées),Unités curriculaires 1er semestre (note),Unités curriculaires 1er semestre (sans évaluations),Unités curriculaires 2e semestre (créditées),Unités curriculaires 2e semestre (inscrits),Unités curriculaires 2e semestre (évaluations),Unités curriculaires 2e semestre (approuvées),Unités curriculaires 2e semestre (note),Unités curriculaires 2e semestre (sans évaluations),Taux de chômage,Taux d'inflation,PIB,Cible
Célibataire,2e phase – contingent général,5,Conception d'animation et multimédia,Jour,Étude secondaire,Portugais,Cours de commerce général,Autre – 11e année de scolarité,"Travailleurs des services personnels, de la sécurité et de la sûreté et vendeurs",Travailleurs sans compétences,Oui,Non,Non,Oui,Homme,Non,20,Non,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,0
Célibataire,Étudiant international,1,Tourisme,Jour,Étude secondaire,Portugais,Étude secondaire – 12e année de scolarité ou équivalent,Étude supérieure – diplôme,Techniciens et professions de niveau intermédiaire,Techniciens et professions de niveau intermédiaire,Oui,Non,Non,Non,Homme,Non,19,Non,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,1
Célibataire,1ère phase – contingent général,5,Conception de communications,Jour,Étude secondaire,Portugais,Cours Général d'Administration et de Commerce,Étude de base de 1er cycle (4e/5e année) ou équivalent,Travailleurs sans compétences,Travailleurs sans compétences,Oui,Non,Non,Non,Homme,Non,19,Non,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,0
Célibataire,2e phase – contingent général,2,Journalisme et communication,Jour,Étude secondaire,Portugais,Comptabilité et administration supplémentaires,Étude de base de 1er cycle (4e/5e année) ou équivalent,"Travailleurs des services personnels, de la sécurité et de la sûreté et vendeurs",Techniciens et professions de niveau intermédiaire,Oui,Non,Non,Oui,Femme,Non,20,Non,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,1
Marié(e),Plus de 23 ans,1,Service Social (présence en soirée),Soir,Étude secondaire,Portugais,Cours Général d'Administration et de Commerce,Étude de base de 2e cycle (6e/7e/8e année) ou équivalent,Travailleurs sans compétences,Travailleurs sans compétences,Non,Non,Non,Oui,Femme,Non,45,Non,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,1
Marié(e),Plus de 23 ans,1,Gestion (présence en soirée),Soir,Étude de base de 3e cycle (9ème/10ème/11ème année) ou équivalent,Portugais,Cours Général d'Administration et de Commerce,Étude de base de 1er cycle (4e/5e année) ou équivalent,Travailleurs sans compétences,"Ouvriers qualifiés de l’industrie, de la construction et des artisans",Non,Non,Oui,Oui,Homme,Non,50,Non,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,1
Célibataire,1ère phase – contingent général,1,Soins infirmier,Jour,Étude secondaire,Portugais,Cours de commerce général,Étude de base de 2e cycle (6e/7e/8e année) ou équivalent,"Ouvriers qualifiés de l’industrie, de la construction et des artisans",Métiers des Forces armées,Oui,Non,Non,Oui,Femme,Oui,18,Non,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,1
Célibataire,3ème phase – contingent général,4,Tourisme,Jour,Étude secondaire,Portugais,Cours Général d'Administration et de Commerce,Étude de base de 1er cycle (4e/5e année) ou équivalent,Travailleurs sans compétences,Travailleurs sans compétences,Oui,Non,Non,Non,Homme,Non,22,Non,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,0
Célibataire,1ère phase – contingent général,3,Service social,Jour,Étude secondaire,Roumain,Étude secondaire – 12e année de scolarité ou équivalent,Étude secondaire – 12e année de scolarité ou équivalent,Travailleurs sans compétences,Travailleurs sans compétences,Non,Non,Non,Oui,Femme,Oui,21,Oui,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,1
Célibataire,1ère phase – contingent général,1,Service social,Jour,Étude secondaire,Portugais,Étude secondaire – 12e année de scolarité ou équivalent,Étude de base de 3e cycle (9ème/10ème/11ème année) ou équivalent,Personnel administratif,"Ouvriers qualifiés de l’industrie, de la construction et des artisans",Oui,Non,Oui,Non,Femme,Non,18,Non,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,0
